"headline","text","keywords","ratingName"
"Jerry Brown says there’s “no massive wave of migrants pouring into California.” Is he right?","'Here are the facts: there is no massive wave of migrants pouring into California. Overall immigrant apprehensions on the border last year were as low as they’ve been in nearly 50 years (and 85 percent of the apprehensions occurred outside of California).'","Crime,Criminal Justice,Homeland Security,Immigration","TRUE"
"Jamie Symington Suspension","A Canadian policeman was suspended after traveling to New York to help search for survivors of the terrorist attacks on the World Trade Center.","ASP Article","TRUE"
"Rhode Island Rep. Christopher Blazejewski says 32 states, District of Columbia allow early voting","'In 32 other states and Washington D.C., they [voters] can avoid the wait by voting before Election Day.'","Elections,Public Service","TRUE"
"Teachers' group says Va.'s school funding 16% below inflation since 2009","State 'school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.'","Education,State Budget","TRUE"
"Photo Shows Man Standing on Large Pile of Bison Skulls?","A photograph shows a man standing on top of a pile of bison skulls.","animals, bison, bison bones, bison skulls","TRUE"
"Can't grow hemp in the United States?","Federal law prohibits the growing of industrial hemp in the United States.","Agriculture,Marijuana,Small Business","TRUE"
"Albert Einstein, Civil Rights Activist","Albert Einstein once said that segregation was a “disease of white people.”","ASP Article","TRUE"
"Texas law permits long rifles to be toted in public","'Public display of a long rifle is perfectly legal in Texas.'","Government regulation,Guns,Legal Issues","TRUE"
"John Kasich says Ohio has 77 job training programs spread across 13 agencies","Says Ohio has 77 job training programs spread across 13 state agencies.","Economy,Jobs","TRUE"
"Salary Cap","New Hampshire state legislators receive a salary of $100 per year.","ASP Article","TRUE"
"Did Philadelphia Eagles Fans Boo Santa Claus?","Fans in Philadelphia once booed and threw snowballs at Santa Claus.","football, santa claus","TRUE"
"42.4 percent by our calculations","Obama spent '40 percent of the PAC money, 43 percent to be exact, on Iowa, New Hampshire, Nevada and South Carolina politicians.'","Ethics","TRUE"
"Are renovations keeping Trump out of the White House?","Says his time away from Washington coincides with a 'long planned renovation' for the White House.","Ethics,Government Efficiency,History,Housing,Recreation","TRUE"
"Is the minimum wage worth less now than 50 years ago?","'Taking into account inflation, the federal minimum wage is actually worth less than what it was worth 50 years ago.'","Economy","TRUE"
"9/11 Tear Drop Memorial","Photographs show a New Jersey monument to the victims of 9/11 that was donated by Russia.","9/11","TRUE"
"Facts or alternative facts? Zuma's 10th State of the Nation Address checked | Africa Check","“Compliance levels with parole and probation conditions have improved to reach a historic mark of 98%.”","agriculture, crime, education, electricity, employment, government, housing, income inequality, Jacob Zuma, SONA, tourism, water, women","TRUE"
"Did Motel 6 Turn Away a Soldier?","An Atlanta Motel 6 outlet turned away a U.S. Army soldier because he was underage.","motel 6","TRUE"
"Some sex offenders will be allowed to drive for Uber and Lyft","In some cases, a sex offender 'who appears on the New York State Sex Offender Registry' would be able to drive for Uber or Lyft when ride-hailing is allowed upstate in July","Crime,Transportation","TRUE"
"Toothsome","Photographs show a U.S. soldier who was shot in the face in Iraq.","ASP Article, military","TRUE"
"Fidel Castro no fan of McCain","'Fidel (Castro) has made his preferences known in the campaign and had some very unkind things to say about me.'","Foreign Policy","TRUE"
"State Sen. Nicholas Scutari says New Jersey has the most restrictive medical marijuana program in the U.S.","'Certainly we're going to be the most restrictive state in the land … in terms of who can get medical marijuana, how it will be prescribed and how it will be achieved in terms of moving it into the marketplace.'","Drugs,Government regulation,Marijuana,Public Health","TRUE"
"Did a City in Texas Require Harvey Aid Recipients to Promise Not to Boycott Israel?","As of October 2017, would-be recipients of a repair grant from Dickinson, Texas, must promise not to boycott Israel.","harvey, hurricane harvey, israel, israel boycott, texas","TRUE"
"Roane County High School Prayer","Principal Jody McLoud of Roane County High School in Kingston, Tennessee, delivered a controversial speech before a school football game.","ASP Article","TRUE"
"See-Through Loo","Photographs show a public toilet made with one-way glass walls.","ASP Article, stephanie cegielski","TRUE"
"Charlie Crist's first TV ad focuses on Marco Rubio's money","Marco Rubio's 'income skyrocketed while his power increased.'","Candidate Biography","TRUE"
"McCain opposed """"Buy American"""" rules","'McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' '","Federal Budget","TRUE"
"Apple CEO Tim Cook Writes Open Letter to Customers About Court Order","Apple CEO Tim Cook wrote an open letter to customers explaining why the company was fighting a court order to unlock an iPhone tied to the San Bernardino attack.","apple, apple letter, fbi, iphone, Policies","TRUE"
"‘We Stand by You’","U.S. naval officer's letter describes a  'manning the rails' ceremony performed by a German destroyer.","9/11 attacks","TRUE"
"Wisconsin State Rep. Chris Taylor on the mark with prison claim","'We saw the prison population expand and vacancy rates for correctional officers go from 2.9% to 15.2%' over the last eight years.","Criminal Justice,Jobs,State Finances","TRUE"
"McMurray claims financial victories on Grand Island","Says he’s a 'small-town supervisor who has kept a balanced budget, who has increased surpluses, who has led us to the highest credit rating our town has ever had.'","Candidate Biography,City Budget,City Government,Job Accomplishments","TRUE"
"Romney ad says Obama attacked McCain on Medicare in ‘08","'In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare.'","Medicare,Message Machine 2012","TRUE"
"Fubu Name Origin","The popular urban sportswear clothier FUBU took its name from the phrase ‘For Us By Us.’","ASP Article, putin endorses sanders","TRUE"
"Libertarian Senate candidate claims he is ignored by mainstream media","'Snitker has been virtually ignored by the major media.'","Elections","TRUE"
"I Don’t Like Mondays","The 1979 Boomtown Rats song 'I Don't Like Mondays' was inspired by a deadly shooting at a school.","Bob Geldof, Boomtown Rats, don't like mondays, music, school shooting, Songs","TRUE"
"Dawson Hodgson says R.I. Attorney General Peter Kilmartin never objected to the parole of murderer Alfred Brissette","The Rhode Island Parole Board 'never received an objection from the attorney general' to the parole of  convicted murder Alfred Brissette.","Crime,Criminal Justice,Public Safety","TRUE"
"Facts or alternative facts? Zuma's 10th State of the Nation Address checked | Africa Check","“At the level of gender, at senior management level males remain dominant at 67.6% and females at 32.4%.”","agriculture, crime, education, electricity, employment, government, housing, income inequality, Jacob Zuma, SONA, tourism, water, women","TRUE"
"Andy Rooney on the French","Commentator Andy Rooney delivered a “the French have not earned the right to protest against the U.S.” piece on TV’s 60 Minutes.","ASP Article","TRUE"
"Dodd was """"bulldog"""" in passing bill","'Dodd brought both parties together to pass the Family and Medical Leave Act.'","Job Accomplishments","TRUE"
"Trump Touches Glowing Orb in Saudi Arabia?","A photograph shows President Trump and Saudi leaders touching a glowing orb.","donald trump, glowing orb, orb, president trump","TRUE"
"The Unknown Soldiers","Sentries guarding the Tomb of the Unknowns remained at their posts through Hurricane Isabel.","arlington national cemetery, tomb of the unknown soldier, tomb of the unknowns","TRUE"
"Lt. Gov. Rebecca Kleefisch says Kathleen Falk raised taxes by millions every year as Dane County executive","As Dane County executive, Kathleen Falk raised property taxes by 'millions of dollars every year' and approved the second highest increase in the state in 2010.","County Budget,State Budget,Taxes","TRUE"
"New Jersey Senate President Stephen Sweeney says when Gov. Chris Christie was a gubernatorial candidate, he promised “no school cuts”","Says that as a gubernatorial candidate, Chris Christie 'promised no school cuts.'","Education","TRUE"
"Minks Mistaken for Submarines","The Swedish navy once mistook minks for enemy submarines.","ASP Article, In The Gnus, Incredible Edibles","TRUE"
"Mike DeWine touts his wife's recipes as a delicious part of Thanksgiving","Says Fran DeWine’s made-from-scratch dinner rolls are a delicious favorite in a traditional Thanksgiving dinner.","Families","TRUE"
"Rep. Gerry Connolly says Reagan raised taxes during five years of presidency","Ronald Reagan 'raised taxes in 1982, 1984, 1985, 1986 and 1987.'","Deficit,Taxes","TRUE"
"Land Commissioner Jerry Patterson says wind leases have earned nearly $500,000 despite delayed electricity production","Says Texas General Land Office “has earned the school children of Texas $451,932.89 on wind leases that haven't produced a watt of energy.'","Children,Education,Energy,State Budget","TRUE"
"Oregon’s Infamous Exploding Whale","In 1970, the Oregon Department of Transportation attempted to dispose of a whale carcass by blowing it up.","Dubious Disposals, marine life","TRUE"
"George Will: NFL fans love the NFL too much to quit watching over Ray Rice","'Last week's three most-viewed television programs were Sunday Night Football, Thursday Night Football and Monday Night Football.'","Sports","TRUE"
"Has Atty. Gen. Peter Kilmartin prosecuted more public records lawsuits than his two predecessors?","'In the past three years, we have prosecuted or brought more cases on access to public records than in the previous 12 years combined.'","Candidate Biography,Government Efficiency,Government regulation,History,Job Accomplishments,Legal Issues,Transparency","TRUE"
"House Removal Collapses Bridge","Photographs show a bridge that collapsed when movers tried to pull a house across it.","accidents, ASP Article","TRUE"
"Did JFK answer Vince Lombardi's call to spring Green Bay Packers star for the big game?","Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game.","History,Military,Sports","TRUE"
"Sen. Sherrod Brown likens rooting for the Red Sox to rooting for the drug companies","'Rooting for the Red Sox is like rooting for the drug companies.'","Baseball","TRUE"
"CNN Took ‘Crooked’ Out of Trump Tweet About Clinton","CNN showed an altered version of a tweet written by Donald Trump during a news segment.","breitbart, CNN, donald trump, election 2016, hillary clinton, truthfeed","TRUE"
"Florida Democrats say McCollum voted to raise congressional pay, earns $75,000 pension","Bill McCollum voted four times to raise his own pay, by a total of $51,000, and earns a congressional pension worth more than $75,000 a year.","Candidate Biography","TRUE"
"Call Forwarding Scam","Scammers con victims into forwarding their phones to other numbers.","ASP Article, scams","TRUE"
"Dell Cancels Weigand Combat Handguns Order","Dell Computer cancelled an order placed by Weigand Combat Handguns because the company name triggered a security alert.","ASP Article, Moral Outrage","TRUE"
"Chubby Bunny Marshmallows Choking Death","A child suffocated while playing a 'Chubby Bunny' marshmallow-stuffing game.","ASP Article, deaths, marshmallows, Parental Nightmares","TRUE"
"U.S. Rep. Steve Southerland says his health insurance is no different than any other federal employee","'The health insurance plan that (members of Congress) have is no different than any other federal employee's in the United States government.'","Health Care","TRUE"
"Wisconsin Democratic Party says state budget surpluses common nationally","'The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin.'","State Budget,State Finances,States","TRUE"
"McCollum accuses Scott of investing in company used by illegal immigrants","Rick Scott “has heavily invested in a company that is geared to helping illegal aliens transfer money to family and friends out of the country.'","Immigration","TRUE"
"Is the ‘Firefall’ Real?","Photographs show a 'fire waterfall' at Yosemite National Park.","Natural Phenomena","TRUE"
"PAC ad sketches Romney as abortion flip-flopper","Says Romney flip-flopped on abortion.","Abortion,Message Machine 2012","TRUE"
"RNC chairman Michael Steele claims that the government will be part owner of General Motors","'President Obama will now own 60 percent of GM, and his union buddies will own almost 20 percent.'","Bankruptcy,Regulation","TRUE"
"Georgia roads are among America's best, state officials say","Georgia has some of the best maintained roads in America.","Transportation","TRUE"
"State Rep. David Simpson says the state budget includes funding for commercials for Fortune 500 companies","Says the state budget includes spending on commercials for Fortune 500 companies.","State Budget","TRUE"
"Magazine says Newt Gingrich leads in fundraising","This year, Newt Gingrich 'has raised as much money as Mitt Romney, Tim Pawlenty, Sarah Palin, and Mike Huckabee combined.'","Campaign Finance","TRUE"
"Steven King, director of R.I.’s Quonset Business Park, says private investment at Quonset is double public investment","'We’ve had the private sector more than double the investment that was made by the public sector' at Quonset Business Park.","Economy,Infrastructure,Jobs,State Finances","TRUE"
"Cantor says states are spending more on Medicaid than on public schools","'Collectively states are spending more on Medicaid than they do on K-12 education.'","Education,Medicaid,State Budget","TRUE"
"Scott Walker touts $4.7 billion in tax cuts. Is he right?","'By the end of this budget I'm in right now, taxes will have been cut $4.7 billion in my state.'","Job Accomplishments,Taxes","TRUE"
"Stimulus plan comes to more than a million bucks a day since Jesus Christ was born","To give the proposed economic stimulus plan some perspective, 'if you started the day Jesus Christ was born and spent $1 million every day since then, you still wouldn’t have spent $1 trillion.'","Economy,Stimulus","TRUE"
"Does a Texas Law Require Government Contractors to Swear They Won’t Boycott Israel?","A 2017 law passed in Texas requires would-be government contractors to sign an oath promising they will not boycott Israel.","israel","TRUE"
"Driving his truck to victory","'With those first principles, it allowed a fellow like me to get in his truck and go from one end of the state to the other; started 20 points down and wound up 20 points ahead on election night.'","Elections","TRUE"
"Rosa Parks Highway and KKK","The state of Missouri named a stretch of highway adopted by the Ku Klux Klan the “Rosa Parks Highway.”","ASP Article, Moral Outrage","TRUE"
"Happy Face Spider","Photograph shows a “happy face spider.”","ASP Article","TRUE"
"Only as a last resort","Joe Biden 'voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.'","Iraq","TRUE"
"Facebook Ramnit Worm","The Ramnit worm has been stealing Facebook credentials.","ASP Article, facebook, fact check","TRUE"
"George LeMieux says Charlie Crist said Sarah Palin would do a 'great job'","In 2008, Charlie Crist ‘'applauded the pick of Sarah Palin and said she would do ‘a great job.’'","Candidate Biography","TRUE"
"Linda Chavez-Thompson says """"most Texans aren't millionaires""""","'Most Texans aren't millionaires.'","Economy,Elections","TRUE"
"Do These Pictures Show a Dolphin Hunt in Denmark’s Faroe Islands?","Photographs show a Calderon dolphin hunt taking place in Denmark.","hunting and fishing","TRUE"
"McAuliffe says 70 percent of medically uninsured live in working households","'Seventy percent of all uninsured live in households in which at least one person is working.'","Families,Health Care,Workers","TRUE"
"Is Donald Trump right that the Dow Jones just had its fastest-ever 1,000-point jump?","The Dow Jones Industrial Average 'jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history.'","Economy,Job Accomplishments","TRUE"
"Deal knows his numbers on child deaths","'Since 2010, eight children in Georgia have died due to vehicular heatstroke.'","Children","TRUE"
"Rhyming Minnesota Poet Laureate Bill","Minnesota bill proposing creation of poet laureate position is written in rhyming verse.","ASP Article","TRUE"
"Can You Get Carbon Monoxide Poisoning from Sitting in a Snowed-In Car?","Sitting inside a running, snowed-in car can result in carbon monoxide poisoning.","Highway Hazards","TRUE"
"Facts or alternative facts? Zuma's 10th State of the Nation Address checked | Africa Check","“Social grants now reach close to 17 million people, mainly older persons and children”","agriculture, crime, education, electricity, employment, government, housing, income inequality, Jacob Zuma, SONA, tourism, water, women","TRUE"
"Is there Planned Parenthood funding in the bill that stops a government shutdown?","'There’s no money' for Planned Parenthood in the bill that would keep the government open.","Abortion,Congress,Congressional Rules,Federal Budget","TRUE"
"How the Grinch Stole Christmas Vacation","Law firm issues Seussian response to a motion by opposing counsel for the court to ignore a lawyer’s Christmas vacation request.","ASP Article","TRUE"
"Facts or alternative facts? Zuma's 10th State of the Nation Address checked | Africa Check","“White households earn at least 5 times more than black households, according to Statistics South Africa.”","agriculture, crime, education, electricity, employment, government, housing, income inequality, Jacob Zuma, SONA, tourism, water, women","TRUE"
"Dennis Kucinich says combined top CEO pay topped $770M while average pay rose just 2%","'The top 10 most well-paid CEOs in America received a combined $770 million in 2010, while the average American worker’s wage rose just 2 percent.'","Corporations,Economy,Families,Income","TRUE"
"Republican budget proposal lacks numbers on revenues and costs","The Republican leadership's budget proposal 'doesn't contain any numbers.'","Federal Budget","TRUE"
"Biden's words haunt him","'You ... said that Barack Obama was not ready to be commander in chief.'","Candidate Biography","TRUE"
"Ballast water no longer key cause of invasive species in Great Lakes, Steve LaTourette says","'The problem with invasive species today in the Great Lakes isn’t ballast water.'","Environment,Jobs,Transportation","TRUE"
"Cheney accuses Obama of telling allies of canceled projects in """"midnight"""" calls","The Obama administration notified Poland and the Czech Republic about cancellation of major missile-defense facilities 'at the last minute in midnight phone calls.'","Foreign Policy,Military","TRUE"
"Lizza says Obama has bombed more nations than Bush","'Countries bombed: Obama 7, Bush 4'","Foreign Policy,Military","TRUE"
"Boehner claims $15 million from stimulus going to an Alaskan airport that serves a village of 165","In the stimulus, '$15 million dollars went to 'build a bigger, better airport' for the town of Ouzinkie, Alaska, population 165.'","Stimulus","TRUE"
"Nancy Pelosi says U.S. House 'has never sued a sitting president in all of U.S. history'","'The House of Representatives has never sued a sitting president in all of U.S. history.'","Congress,Legal Issues","TRUE"
"Did Roald Dahl Urge Parents to Vaccinate Their Children?","In 1988 author Roald Dahl penned an open letter urging parents to have their children vaccinated against measles.","children's books, children's health, parenting","TRUE"
"Unemployment rate comparable to Great Depression, congressman says","The U.S. unemployment rate has remained above 8 percent for 43 consecutive months, the longest stretch since the Great Depression.","Jobs","TRUE"
"When a briefing isn't as good as a book","Says Clinton did not read the National Intelligence Estimate before voting for the Iraq war.","Iraq","TRUE"
"Rep. Jason Smith not far off on small business job creation","'In fact 7 out of 10 new jobs in America are created by small businesses.'","Economy,Jobs,Small Business","TRUE"
"Letter to General Motors","The president of Knox Machinery wrote a letter to the president of General Motors, criticizing the latter for seeking a government bailout.","general motors","TRUE"
"TRUE: During campaign, Trump pledged to leave marijuana legalization up to states","During his campaign for president, Donald Trump 'committed to honoring states' rights when it comes to marijuana legalization.'","Drugs,Marijuana,States,The 2018 California Governor's Race","TRUE"
"A Canadian’s View of U.S. Elections","E-mail reproduces an editorial from a Canadian newspaper about U.S. presidential candidates.","ASP Article","TRUE"
"Cosmetics Settlement","Cosmetics manufacturers will be giving away free product in settlement of a class-action lawsuit.","ASP Article, something for nothing","TRUE"
"The surprising stats on car crashes and overdoses in Pennsylvania","Overdosing is now the number one accidental killer in our Commonwealth.","Drugs","TRUE"
"Jeff Wentworth says few Texans are licensed for concealed handguns","'We have over 25 million people who live in Texas and less than 2 percent of them have' concealed handgun licenses.","Guns","TRUE"
"School Requests Canned Goods to Thwart Shootings","An Alabama middle school sent a letter to parents requesting canned goods to be used for defense against intruders.","ASP Article, education","TRUE"
"Sen. Jim DeMint takes aim at the """"Muppet Lobby""""","'From 2003 to 2006, 'Sesame Street' made more than $211 million from toy and consumer product sales.'","Children,Federal Budget","TRUE"
"Did Protesters Burn a Minnesota County’s Flag and Raise an Anti-Fascist One at a Local Jail?","On 14 August 2017, protesters removed and destroyed the county flag from the Hennepin County, Minnesota jail, and temporarily replaced it with an Antifa flag.","anti-fascists, antifa, charlottesville, hennepin county, minneapolis, minnesota","TRUE"
"Yes, chicken and rice on the menu","Guantanamo detainees 'get taxpayer-paid-for prayer rugs…they had honey-glazed chicken and rice pilaf.'","Terrorism","TRUE"
"Does it cost $75K per year to lock up an inmate in California?","'It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.'","Crime,Criminal Justice,State Budget,State Finances,State government spending ","TRUE"
"State Rep. Kathleen Clyde says new election law doesn't solve 'wrong precinct' problem","''Wrong precinct' rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.'","Elections","TRUE"
"Do 25 percent of rural Georgia residents lack high-speed internet?","In Georgia, '25 percent of rural residents' are 'without access to high speed internet.'","Technology","TRUE"
"Texas Democratic Party says Ted Cruz opposes DREAM Act and 85% of Latinos support it","Says Republican U.S. Senate candidate Ted Cruz 'opposes the DREAM Act, which is supported by 85% of Latinos.'","Immigration","TRUE"
"Studies show handwashing reduces disease","Washing your hands and covering your mouth when you cough 'makes a huge difference' in reducing transmission of the flu.","Health Care","TRUE"
"Catherine Taylor says plethora of tent permit rules exemplifies red tape snarling R.I. businesses","'Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.'","Economy,Government Efficiency,Government regulation,Regulation,Small Business","TRUE"
"Scott Walker says college tuition has risen at four times the rate of inflation","Since 1978, college 'tuition nationwide has gone up something like four times the rate of inflation.'","Education","TRUE"
"Renee Zellweger","Photographs of Renee Zellweger taken in October 2014 are real and undoctored.","ASP Article, People","TRUE"
"Yahoo! Mail Petition","Yahoo! will begin charging for its previously-free POP e-mail service in April 2002.","ASP Article, internet, Petitions","TRUE"
"Kanye West Proud He Doesn't Read Books?","Rapper Kanye West said he is a “proud non-reader of books.”","ASP Article","TRUE"
"Seidel says untrained people would be allowed to carry guns after Republicans softened concealed-carry rules","A Republican-led softening of firearms training rules means that 'untrained individuals' would be allowed to carry guns with a state permit.","Guns,Regulation","TRUE"
"Is This a Real Video of an Arrow That Always Points to the Right?","An optical illusion allows a 3D arrow to appear as if it is always pointing in the same direction (with its mirror reflection showing the opposite direction), even when it is rotated 180 degrees.","optical illusions","TRUE"
"Sen. Sherrod Brown says cuts proposed by House GOP could hurt police, terror prevention efforts","The 'House-passed budget proposal could cut funding for programs that help keep local neighborhoods safe, slash more than $1.7 million in anti-terror funds for Ohio.'","Crime,Criminal Justice,Federal Budget","TRUE"
"New Orleans Scrap Cars","The mayor of New Orleans turned down an offer for the city to make $5 million on the removal of vehicles wrecked by Hurricane Katrina and instead opted for plan that would have cost the city $23 million.","ASP Article","TRUE"
"Harry Reid says Sharron Angle wants to eliminate the Education Department","Sharron Angle 'would eliminate the Department of Education.'","Education,Legal Issues,Message Machine 2010,States","TRUE"
"Did Trump Tweet Multiple Predictions That Obama Would Attack Iran?","On multiple occasions Donald Trump tweeted predictions that President Obama would order an attack on Iran.","barack obama, donald trump","TRUE"
"Tax burden overwhelmingly on wealthy, congressman says","'America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.'","Taxes","TRUE"
"State Sen. Nina Turner says 99 state workers lost jobs the day after Kasich unveiled his 'jobs budget'","When 'the governor announced his ‘jobs budget,’ 99 folks from the Department of Taxation were let go the next day.'","Government Efficiency,Jobs,State Budget","TRUE"
"Do Farmers Feed Cows Skittles?","Farmers feed their cattle candy, such as Skittles.","cattle, cows, farmers, skittles","TRUE"
"Gov. Charlie Crist says Obama breaks transparency promise on health reform bill","'President Obama has broken his pledge to the American people to be transparent throughout (health care reform negotiations).'","Florida,Health Care","TRUE"
"Leader of Alliance for Safe Communities says 3,000 felons voted in Rhode Island in 2008","Three thousand felons voted in Rhode Island in 2008.","Civil Rights,Criminal Justice,Elections,Public Safety","TRUE"
"Video Shows Baby Delivered Inside Intact Amniotic Sac","A viral video shows a newborn baby delivered inside an intact amniotic sac.","caul, childbirth","TRUE"
"Prayer Request: Tony Mullis","Prayers are requested for Tony Mullis, a 20-year-old soldier who lost his legs while serving in Afghanistan.","ASP Article, Prayer Requests","TRUE"
"Does a Video Game Allow Players to Assume the Role of a School Shooter?","A video game set to be released in June 2018 allowed players to assume the role of a school shooter.","mass shootings, video games","TRUE"
"Expert says infant mortality rate near University Circle exceeds that of some Third World countries","'Within the three miles surrounding the University Circle area, infant mortality exceeds some Third World countries.'","Health Care,Public Health","TRUE"
"Do These Photographs Show the Same Spot in the Arctic 100 Years Apart?","An image comparison shows the same spot in the Arctic in photographs taken over a century apart.","climate change","TRUE"
"Early/Late Easter","Easter Sunday occurs unusually early and late in 2008 and 2011, respectively.","ASP Article","TRUE"
"Americans Against Food Taxes' ad during Super Bowl raises specter of soda, snack taxes","'Some politicians … want to put new taxes on a lot of groceries.'","Taxes","TRUE"
"Lou Greenwald claims governor’s proposed income tax cut benefits millionaires more than middle-class families","'Under this tax cut, middle-class families don't save enough for a week's worth of groceries, while millionaires save enough to go on an exotic vacation.'","Income,Taxes","TRUE"
"Pool Suction","A man seeking sexual pleasure catches his penis in a swimming pool suction fitting.","ASP Article, Phallacies","TRUE"
"Scott Walker says most of the 10 richest counties are around Washington, D.C.","Six of the nation’s 10 wealthiest counties, 'according to median income, are in and around the Washington, D.C. area.'","Economy,Federal Budget,Income,Population,Wealth","TRUE"
"Farouk Shami says Houston No. 3 in toxicity in the nation","Houston is 'the third-most toxic city in the United States of America.'","Economy,Energy,Environment","TRUE"
"Billionaire Warren Buffett still backs Obama","'Warren (Buffett) still does support me.'","Economy","TRUE"
"Facts or alternative facts? Zuma's 10th State of the Nation Address checked | Africa Check","“In terms of the 2015 to 2016 information submitted to the Employment Equity Commission, the representation of whites at top management levels amounted to 72%, while African representation was at 10%. The representation of coloureds stood at 4.5%, and Indians 8.7%.”","agriculture, crime, education, electricity, employment, government, housing, income inequality, Jacob Zuma, SONA, tourism, water, women","TRUE"
"Chad Snowden","Vicky Field is requesting prayers for her son Chad Snowden, a serviceman injured in Iraq.","ASP Article, Prayer Requests","TRUE"
"4 of 5 Milwaukee Public Schools students behind in reading, math, state school superintendent candidate says","Among Milwaukee Public Schools students, '86 percent are behind in reading and 80 percent are behind in math.'","City Government,Education,Poverty","TRUE"
"Is Trump’s Face Hidden in These Baboon Feces?","A scientific paper included a diagram with a representation of baboon feces containing President Trump’s face.","easter eggs","TRUE"
"Greg Abbott says he has sued Obama administration 25 times","Says he has sued the Obama administration 25 times.","Civil Rights,Environment,Legal Issues,Redistricting","TRUE"
"Study correct on Georgia's gender-based murder rate","Georgia ranks No. 9 in the rate of women murdered by men.","Crime,Guns,Women","TRUE"
"Did Trump Put ‘Make America Great Again’ on Presidential Challenge Coins?","Redesigned challenge coins given out by President Trump replaced the familiar 'E pluribus unum' motto with Trump's campaign slogan.","donald trump, make america great again","TRUE"
"Could Ohio schools really cut five weeks of classes under a Statehouse proposal?","A bill delaying the start of classes until Labor Day would permit school districts 'to shave 5 full weeks off the school year.'","Education,Tourism","TRUE"
"Strickland running mate Yvette McGee Brown says Ohio has fewest state employees since Reagan administration","Ohio today has the 'fewest number of state employees since the Reagan administration.'","Government Efficiency,Job Accomplishments,State Budget","TRUE"
"Jim Moran says cuts to pay and pensions will cost federal workers $103 billion over 10 years","Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker.","Deficit,Federal Budget,Pensions,Workers","TRUE"
"The Golden Compass","The 2007 film The Golden Compass is based on a series of books with anti-religious themes.","ASP Article","TRUE"
"Trenton Duckett","A 2-year-old boy named Trenton Duckett is missing from his Leesburg, Florida, home.","ASP Article","TRUE"
"Idaho Resolution re Napoleon Dynamite","The State of Idaho passed a resolution commending Jared and Jerusha Hess for the production of their film Napoleon Dynamite.","ASP Article, Films, Movies","TRUE"
"Tom Mulcair: """"Canada is the only country in the world to have withdrawn from the Kyoto Protocol."""" - FactsCanada","Tom Mulcair: 'Canada is the only country in the world to have withdrawn from the Kyoto Protocol.' - FactsCanada","Climate Change, Environment, NDP, Tom Mulcair","TRUE"
"Song of the South and NAACP","The film Song of the South has never been released on home video in the USA.","ASP Article, Disney Films, The Arts","TRUE"
"Does Disneyland’s Matterhorn Have a Basketball Court?","A basketball court can be found within the top of Matterhorn mountain at Disneyland.","Basketball, disney parks, Theme Parks","TRUE"
"Mistranslated Toy Frog Instructions","The following are the instructions enclosed with the novelty toy TOUNGE OF FROG, manufactured in Taiwan.","ASP Article, speeches","TRUE"
"Sunrise Over Manhattan","Photograph shows sunrise through the World Trade Center towers.","ASP Article","TRUE"
"George Will says Wisconsin governor's benefits proposal would still leave workers better off than those in private sector","If Wisconsin's governor cuts perquisites as much as he plans to do, 'it would still leave (workers) better off than their private sector' counterparts.","Labor,Pundits,State Budget,This Week - ABC News","TRUE"
"Are all Missouri coal ash ponds really causing groundwater contamination?","'All the ponds in Missouri for which we have data are causing groundwater contamination. … This is a statewide issue.'","Environment","TRUE"
"Facts or alternative facts? Zuma's 10th State of the Nation Address checked | Africa Check","“Government is actively involved in the property sector, having provided more than 4 million houses since 1994.”","agriculture, crime, education, electricity, employment, government, housing, income inequality, Jacob Zuma, SONA, tourism, water, women","TRUE"
"State Rep. Blazejewski says Rhode Island law made white lies misdemeanors if transmitted on the Internet.","'Under current law, if you go on a dating website and you say you're 32 and you're actually 42, you've committed a misdemeanor.'","Legal Issues,Pop Culture,Technology","TRUE"
"Acid Bomb Warning","E-mail describes an “acid bomb” left to explode on a residential porch.","ASP Article","TRUE"
"Rep. Morgan Griffith says EPA job growth outstips that of U.S. government","'From 1972 until 2011, the number of EPA employees increased by 107 percent while the number of total federal personnel decreased by 15 percent.'","Environment,Jobs","TRUE"
"Sarah Palin says Barack Obama once said the individual mandate """"wasn't a tax""""","Obama 'said (the individual mandate) wasn't a tax.'","Health Care,Pundits,Taxes","TRUE"
"Fact-checking the #SoNA2016 debates | Africa Check","There are “8.3 million jobless people” in South Africa.","agriculture, development, education, electricity, employment, housing, poverty, SONA, tourism, Zuma","TRUE"
